run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260804_181406_spooky-base,spooky-author-identification,uncapped,11,19.15,0.25694,silver,1,top11ens-total_run_time19.15h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,12,19.17,0.25983,silver,1,top12ens-total_run_time19.17h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,1,1.94,0.23663,silver,1,top1ens-total_run_time1.94h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,2,2.44,0.24468,silver,1,top2ens-total_run_time2.44h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,3,3.55,0.24788,silver,1,top3ens-total_run_time3.55h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,4,4.14,0.24341,silver,1,top4ens-total_run_time4.14h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,5,5.88,0.24451,silver,1,top5ens-total_run_time5.88h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,6,6.24,0.24683,silver,1,top6ens-total_run_time6.24h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,7,6.26,0.24882,silver,1,top7ens-total_run_time6.26h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,8,8.18,0.25104,silver,1,top8ens-total_run_time8.18h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
